asn,count
269730,4
1756,4
262415,4
31012,4
3212,4
50466,4
63888,4
38019,4
142404,4
9658,4
131522,4
136200,4
17924,4
134764,4
39699,4
7693,4
134810,4
197524,4
932,4
131536,4
24138,4
6700,4
209372,4
13041,4
50435,4
41110,4
131293,4
35205,4
199809,4
200466,4
46042,4
200943,4
47616,4
1101,4
328188,4
20649,4
57128,4
33139,4
15987,4
264268,4
30860,4
132372,4
207907,4
38511,4
27947,4
6810,4
56030,4
8636,4
207326,4
56420,4
3221,4
15083,4
23951,4
203511,4
23201,4
8632,4
5495,3
8192,3
207083,3
134926,3
1835,3
57276,3
135222,3
35141,3
12355,3
9031,3
18026,3
28745,3
4528,3
134542,3
4782,3
134419,3
209181,3
18419,3
16202,3
47385,3
44735,3
45291,3
199181,3
55577,3
43293,3
61694,3
54198,3
204035,3
57523,3
47217,3
47959,3
205220,3
198710,3
212271,3
48594,3
135273,3
150055,3
137687,3
63770,3
17575,3
327716,3
44133,3
42429,3
7522,3
35787,3
210226,3
394710,3
46050,3
37305,3
33951,3
29608,3
14178,3
59414,3
4755,3
48254,3
38727,3
16625,3
57026,3
20485,3
13194,3
29321,3
13917,3
7573,3
53423,3
38532,3
35426,3
396141,3
135944,3
57433,3
33885,3
47242,3
12338,3
21143,3
41922,3
2044,3
8732,3
198066,3
24835,3
6407,3
135566,3
9431,3
45187,3
37168,3
54339,3
5602,3
35492,3
8643,3
35682,3
37621,3
17048,3
8615,3
41705,3
50941,3
198432,3
12180,3
22418,3
25697,3
202870,3
199416,3
46446,3
9905,3
10620,3
44547,3
9211,3
60798,3
131423,3
9,3
41436,3
49037,3
15404,3
51265,3
395337,3
51088,3
56566,3
5387,3
36086,3
5480,3
32489,3
21624,3
5670,3
32863,3
393427,3
789,3
103,3
5661,3
62370,3
393238,3
35564,3
396949,3
31615,3
15542,3
12,3
8070,3
22990,3
3280,3
11050,3
210715,3
195,3
6762,3
50821,3
36114,3
35339,3
394432,3
18164,3
3851,3
11767,3
38008,3
34324,3
52820,3
21699,3
30,3
11698,3
44923,3
210710,3
46337,3
17306,3
27,3
399077,3
60721,3
398791,3
400391,3
29900,3
51645,3
8057,3
11550,3
209641,3
22150,3
38001,3
213030,3
140825,3
202422,3
142578,3
4515,3
199753,3
136959,3
4758,3
41717,3
33941,3
209974,3
6597,3
49609,3
47963,3
40861,3
328998,3
47610,3
7473,3
137385,3
211895,3
42116,3
10214,3
19662,3
147293,3
55803,3
13127,3
9457,3
7575,3
399661,3
140166,3
17447,3
31246,3
31708,3
51961,3
149585,3
17956,3
135133,3
140389,3
61302,3
138115,3
57112,3
212669,3
55441,3
146930,3
140123,3
17762,3
10006,3
41754,3
3450,3
198203,3
16556,3
5467,3
201848,3
8324,3
22884,3
146988,3
207746,3
131584,3
32875,3
207713,3
6192,3
14117,3
133115,3
8466,3
50810,3
44094,3
211668,3
199456,3
38843,3
212655,3
33724,3
212815,3
30447,3
63213,3
40395,3
36369,3
58740,3
136609,3
12371,3
212477,3
3259,3
12670,3
28343,3
10881,3
14315,3
1213,3
23404,3
2259,3
20412,3
39737,3
26253,3
205585,3
6461,3
49468,3
202423,3
52207,3
263087,3
263598,3
44925,3
39102,3
34087,3
131414,3
37992,3
53038,3
12212,3
26666,3
31252,3
7489,3
41046,3
58826,3
49136,3
208725,3
206548,3
63555,3
24935,3
20712,3
6821,3
200659,3
138050,3
6713,3
59592,3
207190,3
18257,3
197423,3
146822,3
20853,3
199599,3
29550,3
198171,3
41800,3
211041,3
54548,3
24334,3
137539,3
141771,3
12912,3
8663,3
22047,3
200736,3
42807,3
9147,3
61496,3
38105,3
37542,3
21921,3
16958,3
137788,3
53449,3
13368,3
5416,3
17378,3
48147,3
29194,3
2586,3
1218,3
11272,3
