port,count
2152,8
6070,8
447,8
442,8
60002,8
6036,8
10102,8
51001,8
51003,8
7801,8
6513,8
6514,8
6505,8
28443,8
5994,8
3191,8
700,8
2425,8
29876,8
48495,8
4117,8
802,8
6379,8
4046,8
8019,7
8810,7
8021,7
23023,7
4358,7
50996,7
772,7
4086,7
61613,7
30048,7
7016,7
7012,7
50008,7
7302,7
785,7
8051,7
50005,7
11285,7
452,7
8815,7
19071,7
3193,7
3195,7
3341,7
6503,7
6022,7
4786,7
8383,7
7790,7
189,7
4447,7
48888,7
6134,7
782,7
30008,7
7822,7
3456,7
51200,7
27015,7
4246,7
25000,7
7900,7
5999,7
7433,7
8034,7
4348,7
7980,7
7999,7
8100,7
7348,7
51201,7
4018,7
8901,7
30004,7
8876,7
25647,7
943,7
61616,6
7022,6
12440,6
4194,6
8079,6
8043,6
40029,6
6661,6
50004,6
6512,6
30013,6
21234,6
8039,6
8855,6
8868,6
8075,6
8018,6
1724,6
9027,6
4431,6
8912,6
50998,6
12319,6
234,6
20001,6
50010,6
7979,6
7445,6
10073,6
7510,6
5996,6
8836,6
8101,6
11423,6
7473,6
8991,6
3198,6
12192,6
60443,6
8913,6
8803,6
3197,6
4206,6
4524,6
7021,5
9011,5
8990,5
1988,5
11211,5
3555,5
809,5
12219,5
16666,5
3232,5
12110,5
3270,5
45001,5
3200,5
9034,5
5066,5
8833,5
8910,5
10230,5
4080,5
8055,5
8073,5
689,5
18083,5
8037,5
885,5
886,5
1002,5
13980,5
50999,5
833,5
29015,5
8817,5
8844,5
7083,5
36167,5
50969,5
8861,5
805,5
3551,5
8038,5
9024,5
9103,5
5439,5
4372,5
16402,5
8788,5
3784,5
3380,5
806,5
4422,5
17777,4
4899,4
26214,4
8066,4
25105,4
8017,4
19022,4
12289,4
8077,4
1103,4
1343,4
8543,4
53,4
7434,4
20080,4
8121,4
8811,4
8819,4
22434,4
8023,4
9311,4
8340,4
8016,4
8827,4
1235,4
51004,4
50997,4
8065,4
9033,4
2021,4
9181,4
8916,4
9035,4
8061,4
8905,4
28015,4
4499,4
5557,4
8406,4
9039,4
8872,4
30327,4
11436,4
18443,4
8915,4
9016,4
12194,4
4420,4
12400,4
29999,4
8864,4
9113,4
161,4
8414,4
830,4
9081,4
12266,4
31017,4
8806,4
8026,4
1355,4
1533,4
9066,4
8134,4
1188,4
51002,4
10434,4
8501,4
12111,4
8908,4
2210,4
8033,4
8028,4
18002,4
22533,4
9305,4
25565,4
9043,4
50007,3
50014,3
30101,3
15002,3
9097,3
1956,3
21001,3
14404,3
8027,3
13000,3
15001,3
15018,3
50009,3
4150,3
41000,3
40099,3
9218,3
8050,3
7800,3
1454,3
5140,3
8840,3
8528,3
9014,3
1377,3
4482,3
25001,3
1193,3
9307,3
9309,3
8054,3
9015,3
21305,3
8404,3
22,3
7869,3
12132,3
16006,3
1293,3
41434,3
11438,3
53434,3
21289,3
3349,3
12312,3
8115,3
18027,3
18005,3
12307,3
30123,3
31434,3
50013,3
8109,3
50011,3
9308,3
5263,3
18082,3
9299,3
12313,3
8103,3
5240,3
8074,3
9031,3
8063,3
50006,3
18034,3
36761,3
9105,3
21246,3
12197,3
5038,3
22111,3
9022,3
5501,3
8433,3
4095,3
7051,3
27443,3
11433,3
9019,3
12119,3
7103,3
15443,3
6510,3
9141,3
12243,3
12303,3
9221,3
12222,3
8980,3
8189,3
9106,3
9102,3
12167,3
30479,3
4783,3
1292,3
843,3
8459,3
8556,3
51294,3
22000,3
47989,3
8124,3
12206,3
16085,3
8411,3
12456,3
12383,3
3510,3
8127,3
5224,3
8451,3
12224,3
12124,3
8823,3
8822,3
8809,3
8802,3
8870,3
8869,3
8350,3
9148,3
8829,3
8873,3
138,3
8969,3
8943,3
9301,3
9216,3
8863,3
4060,3
8988,3
8860,3
8199,3
8108,3
8820,3
8071,3
8875,3
8047,3
21310,3
23,3
50760,3
12418,3
1013,3
8842,3
8510,3
8812,3
12578,3
8280,3
2762,3
8911,3
16001,3
831,3
8422,3
9122,3
9111,3
1250,3
33060,3
25010,3
30000,3
32001,3
18088,3
13333,3
1181,3
48869,3
1190,3
12557,3
40443,2
5503,2
12023,2
8581,2
38880,2
9018,2
12248,2
5544,2
8903,2
23434,2
5416,2
9907,2
22868,2
8132,2
11444,2
8430,2
61434,2
11760,2
22456,2
21773,2
9040,2
9037,2
9036,2
9021,2
21315,2
9045,2
3269,2
12187,2
1954,2
8475,2
8465,2
5671,2
5083,2
5022,2
22545,2
7862,2
6660,2
7117,2
8198,2
9182,2
3572,2
9280,2
9601,2
7101,2
12435,2
8186,2
30846,2
8190,2
12429,2
18022,2
49080,2
9205,2
2423,2
8596,2
8380,2
11555,2
45679,2
21321,2
12565,2
8564,2
27007,2
30892,2
27000,2
30692,2
44443,2
59656,2
12190,2
9203,2
30023,2
4400,2
8502,2
12458,2
7008,2
9222,2
8048,2
8041,2
12135,2
18153,2
8525,2
8524,2
8481,2
8230,2
7135,2
8585,2
2201,2
8424,2
10142,2
8192,2
8429,2
4434,2
8114,2
8107,2
8076,2
46162,2
18705,2
8191,2
55101,2
8472,2
2556,2
8415,2
37197,2
30406,2
50444,2
8418,2
8450,2
8503,2
53352,2
9210,2
8571,2
9170,2
2057,2
12306,2
8193,2
12751,2
22386,2
2063,2
3562,2
46315,2
8119,2
32901,2
3677,2
40070,2
35004,2
12274,2
12268,2
12263,2
12253,2
12226,2
56234,2
1283,2
1207,2
7747,2
30309,2
29317,2
3718,2
36655,2
5262,2
2639,2
9252,2
12309,2
8553,2
1485,2
4160,2
5229,2
4457,2
8549,2
21376,2
5254,2
5613,2
8558,2
44332,2
2065,2
2012,2
14909,2
953,2
1978,2
1500,2
1447,2
887,2
22636,2
29727,2
16696,2
9107,2
12140,2
12136,2
55221,2
51882,2
55608,2
53448,2
5276,2
5225,2
8482,2
8456,2
2599,2
12158,2
12105,2
1365,2
1180,2
8666,2
1304,2
56544,2
9289,2
9220,2
9138,2
12237,2
50525,2
29261,2
10421,2
35349,2
17702,2
12138,2
8879,2
8853,2
12318,2
12316,2
8322,2
18084,2
35002,2
8580,2
8570,2
8560,2
8550,2
8530,2
8520,2
8505,2
8504,2
14875,2
30945,2
37641,2
12292,2
12286,2
12270,2
12267,2
12252,2
16401,2
30104,2
23082,2
57188,2
12586,2
9075,2
1167,2
9117,2
18010,2
18064,2
18016,2
18015,2
18004,2
21255,2
20600,2
8830,2
5556,2
8453,2
8488,2
1444,2
9084,2
9207,2
8447,2
2050,2
8446,2
21284,2
49200,2
9071,2
46001,2
36934,2
832,2
32080,2
18113,2
40979,2
13940,2
19250,2
12255,2
12558,2
4333,2
21624,2
5500,2
2616,2
26470,2
12305,2
12122,2
8031,2
20053,2
3050,2
12201,2
8523,2
8442,2
5090,2
12233,2
21298,2
12260,2
2382,2
2345,2
2196,2
18556,2
18054,2
21245,2
12273,2
5011,2
4072,2
9119,2
46443,2
9110,2
30030,2
3500,2
33618,2
38323,2
28494,2
8457,2
50073,2
8410,2
9310,2
9304,2
9303,2
9302,2
8405,2
44672,2
5839,2
18382,2
15773,2
1983,2
2211,2
1957,2
11008,2
28413,2
24486,2
7585,2
8110,2
8036,2
21240,2
38908,2
9169,2
48650,2
53025,2
11850,2
5696,2
5227,2
58079,2
59413,2
58825,2
40670,2
5053,2
14101,2
2558,2
19164,2
23919,2
28365,2
23017,2
57219,2
12121,2
44363,2
5100,2
8563,2
3569,2
8403,2
8920,2
51217,2
51700,2
31158,2
57001,2
41029,2
17146,2
3550,2
5223,2
8843,2
8839,2
12116,2
12371,2
12106,2
12426,2
9236,2
9186,2
9144,2
8821,2
9134,2
8807,2
8805,2
11535,2
8791,2
19631,2
8172,2
21251,2
8867,2
8382,2
12082,2
8789,2
8577,2
8569,2
39558,2
47097,2
2296,2
38828,2
18638,2
43424,2
8847,2
8845,2
3952,2
3568,2
3553,2
9046,2
9136,2
9129,2
9098,2
8837,2
8831,2
8435,2
8826,2
2607,2
16034,2
56250,2
35832,2
9104,2
33434,2
18011,2
50022,2
50012,2
9230,2
9215,2
3402,2
9212,2
9175,2
9217,2
1031,2
2226,2
8857,2
8851,2
8850,2
4103,2
2893,2
31392,2
12311,2
12235,2
12186,2
10778,2
55603,2
21214,2
7891,2
8894,2
8862,2
9246,2
8824,2
8804,2
3406,2
3199,2
3727,2
55091,2
9253,2
8158,2
8157,2
8155,2
21259,2
9173,2
8046,2
8057,2
36984,2
8049,2
35100,2
22388,2
8070,2
8042,2
1989,2
8925,2
8440,2
8045,2
21304,2
39001,2
3540,2
31281,2
16849,2
30027,2
17618,2
33270,2
55532,2
4349,2
41359,2
8056,2
19017,2
19195,2
9079,2
19000,2
1153,2
7703,2
29146,2
