latitude,count
56.090115,16
36.790775,16
41.130642,16
37.176109,16
51.105721,16
31.648371,16
46.515991,16
33.679798,16
40.547459,16
26.88806,16
46.029442,16
35.46756,16
47.473331,16
50.452438,16
39.150673,16
50.723598,16
-8.05377,15
33.513191,15
51.842499,15
61.05872,15
32.21632,15
48.473778,15
52.585281,15
45.415367,15
53.617661,15
-23.5,15
63.430515,15
45.070492,15
58.139408,15
14.55027,15
11.48682,15
34.013348,15
20.600096,15
40.608212,15
36.16629,15
32.939491,15
21.649929,15
36.85664,15
30.291229,15
27.73444,15
55.0,15
51.456249,15
32.814899,15
32.786999,15
36.18528,15
45.43412,15
45.048801,15
54.299999,15
34.061256,15
37.498875,15
37.233421,15
25.702755,14
27.316669,14
27.85,14
37.062309,14
35.738152,14
-25.427849,14
50.650002,14
42.716671,14
48.066669,14
38.345028,14
28.635485,14
48.858364,14
32.99472,14
49.8848,14
51.567501,14
31.779034,14
53.753929,14
15.30174,14
48.82127,14
41.710869,14
50.309669,14
40.576283,14
26.178984,14
35.996613,14
34.96196,14
39.9673,14
-37.788273,14
48.765095,14
45.540195,14
49.366669,14
20.966627,14
-12.043333,14
50.506519,14
33.928822,14
55.154442,13
49.787991,13
48.40921,13
26.35869,13
33.073502,13
51.452969,13
26.71574,13
10.966695,13
54.333328,13
-34.833378,13
43.703129,13
43.386211,13
33.558178,13
33.633331,13
51.817501,13
51.522789,13
-20.538591,13
43.339626,13
34.496708,13
43.903568,13
50.632809,13
52.210197,13
25.045555,13
37.791256,13
48.248959,13
32.548328,13
25.7577,13
51.444881,13
40.368893,13
36.616669,13
56.491032,13
49.000381,13
51.25,13
50.767044,13
37.448608,13
43.305439,13
40.703873,12
42.275818,12
51.33231,12
28.805269,12
48.833328,12
32.839451,12
50.75383,12
37.8993,12
27.701826,12
43.598515,12
33.63644,12
58.970058,12
42.149971,12
-25.996386,12
49.710419,12
34.432999,12
-33.816788,12
49.375969,12
45.668331,12
51.644974,12
47.006042,12
48.147289,12
41.003479,12
30.01075,12
37.501308,12
29.294701,12
43.856541,12
34.01667,12
50.244499,12
59.133324,12
32.815559,12
44.493858,12
23.48333,12
27.947519,12
26.388929,12
34.019497,12
26.645119,12
-8.5155,11
28.316669,11
47.44083,11
48.916546,11
25.10722,11
34.000141,11
5.9749,11
-6.992896,11
46.554752,11
41.123611,11
47.613819,11
40.046795,11
25.811834,11
34.73077,11
3.08333,11
55.666714,11
41.655949,11
53.85548,11
37.656372,11
-29.120939,11
44.802689,11
47.653515,11
51.486599,11
56.11903,11
40.833382,11
48.845917,11
37.553867,11
39.529602,11
42.47337,11
39.553913,11
-6.4,11
34.353611,11
27.770866,11
54.706509,11
37.857368,11
33.862244,11
24.757053,11
51.85667,11
43.523464,11
23.52886,11
33.974442,11
41.141571,11
32.122784,11
24.466669,11
46.24556,11
30.73414,11
47.611679,11
40.758389,11
51.180099,11
44.226669,11
20.0,11
42.886765,11
55.75843,11
70.663361,11
53.530437,11
45.749439,11
43.60202,11
51.484459,11
40.298775,11
55.788826,11
53.41058,11
-16.678528,10
42.398708,10
47.686871,10
22.990889,10
68.979172,10
50.723141,10
47.066669,10
56.009766,10
52.237938,10
50.035889,10
59.327099,10
47.166683,10
27.686441,10
23.05176,10
50.67276,10
33.766945,10
57.047886,10
22.78863,10
45.487061,10
47.066444,10
36.719719,10
-29.857529,10
35.600197,10
43.610958,10
48.29026,10
43.860802,10
50.316669,10
39.207283,10
47.918869,10
39.659065,10
34.039043,10
-37.839611,10
31.71073,10
46.228878,10
49.838261,10
